what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430941985836
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430941990331
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1430941995398
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430941995694
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430941999631
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430942004189
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430942007280
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1430942007295
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1430942009870
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1430942011383
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1430942012350
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1430942015951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430942034886
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430942885299
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1430942886621
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430942900828
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430942905847
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1430942913291
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430942913588
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430942917116
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430942931994
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430942937862
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1430942937878
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1430942940811
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1430942942288
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1430942943271
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1430942946900
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430943012696
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430944580813
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1430944586124
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430944591545
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430944595975
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430944607761
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430944611926
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1430944627489
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430944627786
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430944631210
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430944648471
